Month,Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Netherlands,Norway,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom
Jan-08,13,0,0,0,0,0,1,0,6,10,10,0,15,0,17,15,0,0,0,0,53,0,0,0,0,0,0,24,5,6,8,4,8
Feb-08,10,10,0,0,0,0,7,0,9,17,4,79,11,0,0,4,0,0,0,0,0,2,0,3,0,0,0,0,0,6,4,0,12
Mar-08,22,0,0,0,0,0,8,0,6,7,13,0,15,0,6,18,0,0,0,0,0,1,0,6,0,0,0,0,0,5,4,2,10
Apr-08,16,0,0,41,0,52,10,0,14,14,9,0,16,0,0,7,64,0,0,69,0,2,27,0,15,0,0,0,5,7,4,2,8
May-08,40,0,0,0,0,52,7,40,15,37,20,0,16,0,17,10,0,0,0,0,50,2,0,0,0,0,0,0,0,20,8,2,8
Jun-08,43,5,0,0,0,0,10,43,10,34,19,0,11,0,6,10,71,0,40,0,0,5,29,9,0,0,0,26,0,9,8,2,17
Jul-08,27,0,81,0,0,0,2,0,16,19,17,0,10,0,17,14,0,0,0,0,0,8,0,3,16,0,0,0,0,7,21,2,21
Aug-08,10,5,0,0,0,0,6,0,22,11,16,0,16,0,12,18,66,0,39,0,0,4,27,6,0,0,0,0,0,11,17,9,11
Sep-08,24,0,0,0,0,0,4,0,19,14,15,68,15,0,6,0,0,0,0,0,0,6,25,14,0,0,0,0,4,7,11,4,6
Oct-08,22,0,0,0,0,0,11,0,12,24,12,65,18,0,15,0,0,0,0,0,0,5,22,10,13,0,0,21,0,7,4,4,10
Nov-08,11,13,0,42,0,46,8,0,18,10,9,0,4,0,11,15,0,0,0,0,50,4,46,3,0,0,0,0,4,7,11,2,7
Dec-08,27,9,0,0,0,46,9,32,8,16,10,0,4,0,0,19,0,0,60,0,0,7,0,0,0,0,0,0,0,11,4,2,10
Jan-09,16,4,0,0,0,0,9,0,14,10,9,0,7,0,5,3,0,0,27,0,90,2,21,4,0,0,0,0,0,8,3,7,9
Feb-09,11,9,0,0,0,0,7,30,5,9,11,0,20,0,0,11,51,0,57,0,0,7,23,2,0,0,0,0,4,10,7,4,10
Mar-09,10,0,0,0,0,0,13,53,23,13,10,69,7,0,5,10,0,0,0,0,0,7,0,2,0,0,0,0,4,11,10,0,9
